0.1,5.4241,5.4235,5.4247,5.4236,5.4243,5.4250,
0.1,5.4256,5.4246,5.4249,5.4235,5.4259,5.4257,
0.2,5.4245,5.4235,5.4247,5.4252,5.4242,5.4243,
0.2,5.4250,5.4244,5.4244,5.4239,5.4260,5.4255,
0.3,5.4246,5.4247,5.4248,5.4240,5.4247,5.4253,
0.3,5.4242,5.4240,5.4247,5.4243,5.4251,5.4251,
0.4,5.4237,5.4249,5.4246,5.4248,5.4244,5.4254,
0.4,5.4239,5.4247,5.4248,5.4234,5.4255,5.4247,
0.5,5.4247,5.4251,5.4245,5.4237,5.4247,5.4257,
0.5,5.4253,5.4251,5.4246,5.4235,5.4244,5.4247,
0.6,5.4234,5.4247,5.4243,5.4246,5.4242,5.4251,
0.6,5.4246,5.4250,5.4252,5.4241,5.4253,5.4249,
0.7,5.4249,5.4250,5.4246,5.4240,5.4242,5.4246,
0.7,5.4253,5.4240,5.4259,5.4239,5.4262,5.4243,
0.8,5.4231,5.4240,5.4245,5.4236,5.4248,5.4245,
0.9,5.4255,5.4250,5.4247,5.4247,5.4251,5.4263,
0.8,5.4254,5.4247,5.4253,5.4242,5.4251,5.4260,
0.10,5.4238,5.4239,5.4244,5.4242,5.4249,5.4239,
0.9,5.4253,5.4241,5.4240,5.4239,5.4252,5.4245,
0.11,5.4234,5.4227,5.4232,5.4226,5.4232,5.4231,
0.10,5.4257,5.4236,5.4255,5.4233,5.4262,5.4250,
0.12,5.4247,5.4243,5.4248,5.4249,5.4252,5.4253,
0.11,5.4245,5.4231,5.4241,5.4223,5.4245,5.4252,
0.13,5.4234,5.4236,5.4234,5.4241,5.4246,5.4249,
0.12,5.4253,5.4238,5.4236,5.4241,5.4252,5.4250,
0.14,5.4256,5.4244,5.4250,5.4255,5.4244,5.4262,
0.13,5.4257,5.4252,5.4260,5.4233,5.4259,5.4251,
0.15,5.4231,5.4246,5.4245,5.4243,5.4249,5.4241,
0.14,5.4264,5.4231,5.4257,5.4244,5.4258,5.4252,
0.16,5.4252,5.4255,5.4238,5.4247,5.4253,5.4255,
0.17,5.4255,5.4239,5.4243,5.4251,5.4253,5.4251,
0.15,5.4260,5.4255,5.4256,5.4248,5.4258,5.4252,
0.18,5.4255,5.4250,5.4243,5.4255,5.4259,5.4254,
